# CodeBrix.LilyPort ratchet -- every time a floor came DOWN, and why.
# Append-only, written by `ratchet.py rebaseline`. The manifest records
# what the floor IS; this records what happened to it, so a row that
# reads lower than a plan document claims can always be accounted for.
#
# date	name	from	to	reason
2026-08-07	bar-line-define-fine-v-repeat-segno.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	bar-line-define-fine-v-repeat.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	bar-line-define-repeat-segno.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	bar-line-define-repeat.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	bar-line-submeasure-grace.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	bar-line-thickness.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	bar-line-unset.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	beaming-more-than-4-beams-normal-size.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	bend-bound.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	break-alignment-anchor-average-unanimous.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-changes.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-dots.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-additional-contexts.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-bar-line-attachment.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-marks.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-parentheses.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-rests.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-skips.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-staff-sizes.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-stopstaff.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	chord-grid-unterminated-measure.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	coda-mark-begin-score-default.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	coda-mark-begin-score-specific.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	coda-mark-break.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
2026-08-07	coda-mark-formatters.svg	GLYPHS-DIFFER	MISSING	PHANTOM floor, re-baselined 1541 -> 1444. BatchDriver never cleaned candidate/svg, so each of these rows was graded against a page an EARLIER run had produced, after the file itself had stopped producing one; the ratchet then reported no regression for the failure it exists to catch. First measurement against a clean directory 2026-08-07. Attribution is from the saved sweep logs, which record what each sweep PRODUCED and so do not depend on the directory: 23 stopped at LS-FIX2, 14 at Wave A, 59 at EPG22, and NONE was still producing in the most recent sweep. 78 of the stale pages held zero music glyphs. Causes now: 40 pre-existing parse errors, 29 ly:stencil-extent, 18 no-current-parser (a live defect this exposed), 10 other. Per-row evidence: ~/ClaudeHome/ANALYSIS_lilyport_harnessfix_phantom_rows_2026-08-07.tsv. The engine did not get worse; the measurement was wrong.
