# Entry-point documentation, extracted from the LY_DEFINE and
# LY_DEFINE_WITH_SETTER macros of LilyPond v2.27.2
# (commit 2d621459bd44cb1758f822a69757242eab843060), lily/*.cc.
#
# Upstream registers these from the macro into a hash table
# (lily/function-documentation.cc:58) that ly:get-all-function-documentation
# hands to scm/document-functions.scm. The port's entry points are C#
# lambdas with nowhere to carry a docstring, so the data is carried here and
# registered at CreateInterpreter -- see FunctionDocumentation.cs.
#
# Columns: scheme-name, source, arglist, docstring.
# The arglist is stringified as the C preprocessor would leave #ARGLIST:
# every run of whitespace collapsed to one space. \n is a newline.
#
# THREE RULES DECIDE WHAT IS IN HERE, and each was added because taking the
# source at face value put something in the generated manual that the oracle
# does not have:
#
#   * A docstring may be a C++ RAW STRING LITERAL WITH A NON-EMPTY DELIMITER,
#     R"delim( ... )delim", which is how LilyPond writes any docstring that
#     contains a quotation mark. Reading only R"( ... )" leaves 'delim(' in
#     the text and drops every embedded quoted string.
#
#   * A SMOB TYPE PREDICATE is included only when its class actually derives
#     from a smob base (class OR struct -- Duration and Tuplet_description are
#     structs). Smob_base<T>::init() defines the predicate, so a class that
#     merely declares type_p_name_ never gets one: lily/include/box.hh does
#     exactly that, and the oracle answers #f to (defined? 'ly:box?).
#
#   * An entry point behind a build flag the oracle build does not set is
#     skipped -- #if GS_API, which is why ly:gs-api and ly:shutdown-gs are
#     absent here and unbound there.
#
# Regenerate with tools/table-extract/extract-entry-point-docs.py.
ly:duration->moment	duration-scheme.cc	(SCM dur)	\nConvert @var{dur} to a @code{moment} with no grace part.\n           
ly:duration->number	duration-scheme.cc	(SCM dur)	\nConvert @var{dur} to the equivalent number of whole notes.\n           
ly:duration->string	duration-scheme.cc	(SCM dur)	\nConvert @var{dur} to a string.\n           
ly:duration-compress	duration-scheme.cc	(SCM dur, SCM factor)	\nCompress @var{dur} by rational @var{factor}.\n           
ly:duration-dot-count	duration-scheme.cc	(SCM dur)	\nExtract the dot count from @var{dur}.\n           
ly:duration-factor	duration-scheme.cc	(SCM dur)	\nExtract the compression factor from @var{dur}.  Return it as a pair.\n           
ly:duration-log	duration-scheme.cc	(SCM dur)	\nExtract the duration log from @var{dur}.\n           
ly:duration-scale	duration-scheme.cc	(SCM dur)	\nExtract the compression factor from @var{dur}.  Return it as a rational.\n           
ly:duration<?	duration-scheme.cc	(SCM p1, SCM p2)	\nIs @var{p1} shorter than @var{p2}?\n           
ly:duration?	duration.cc	(SCM x)	Is @var{x} a smob of class @code{Duration}?
ly:effective-prefix	general-scheme.cc	()	\nReturn the top-level directory of LilyPond's data tree.\n\nFor example, if LilyPond Scheme files are stored in directory\n@file{/foo/bar/scm} and PS files in @file{/foo/bar/ps}, the effective prefix\nis @file{/foo/bar}.\n           
ly:engraver-announce-end-grob	engraver-scheme.cc	(SCM engraver, SCM grob, SCM cause)	\nAnnounce the end of a grob (i.e., the end of a spanner) originating from given\n@var{engraver} instance, with @var{grob} being a grob.  @var{cause} should\neither be another grob or a music event.\n           
ly:engraver-make-grob	engraver-scheme.cc	(SCM engraver, SCM grob_name, SCM cause)	\nCreate a grob originating from given @var{engraver} instance, with given\n@var{grob-name}, a symbol.  @var{cause} should either be another grob or a\nmusic event.\n           
ly:engraver-make-item	engraver-scheme.cc	(SCM engraver, SCM grob_name, SCM cause)	\nSame as @code{ly:engraver-make-grob}, but always create a grob with the\n@code{Item} class.  This is useful when the same grob definition is used to\ncreate grobs of differing classes.\n           
ly:engraver-make-spanner	engraver-scheme.cc	(SCM engraver, SCM grob_name, SCM cause)	\nSame as @code{ly:engraver-make-grob}, but always create a grob with the\n@code{Spanner} class.  This is useful when the same grob definition is used to\ncreate grobs of differing classes.\n           
ly:engraver-make-sticky	engraver-scheme.cc	(SCM engraver, SCM grob_name, SCM host, SCM cause)	\nUtility function to create a grob sticking to another grob.  This acts like\neither @code{ly:@/engraver-make-item} or @code{ly:@/engraver-make-spanner},\ndepending on the class of the host.  Additionally, the host is made the parent\nof the newly created sticky grob on the y@tie{}axis and, for items, on the\nx@tie{}axis.  Sticky spanners take their bounds from their host and their end\nis announced with the end of the host.\n\n Sticky grobs must have the @code{sticky-grob-interface} interface, see\n@rinternals{sticky-grob-interface}.\n           
ly:error	warn-scheme.cc	(SCM str, SCM rest)	\nA Scheme callable function to issue the error @var{str}.  The error is\nformatted with @code{format}; @var{rest} holds the formatting arguments (if\nany).\n           
ly:event-deep-copy	stream-event-scheme.cc	(SCM m)	\nCopy @var{m} and all sub-expressions of@tie{}@var{m}.\n           
ly:event-length	stream-event-scheme.cc	(SCM event, SCM moment)	\nReturn the length of a stream event. If @code{moment} is not given, this is just\nthe event's @code{length} property.  If @code{moment} is given and is an in-grace\nmoment (i.e. having non-zero, usually negative, grace part), then the length of\nthe stream event is returned as a grace-only moment.  In any case, thus, the\neffective length of the stream event when happening at @code{moment} is returned.\n           
ly:event-property	stream-event-scheme.cc	(SCM sev, SCM sym, SCM val)	\nGet the property @var{sym} of stream event @var{sev}.  If @var{sym} is\nundefined, return @var{val} or @code{'()} if @var{val} is not specified.\n           
ly:event-set-property!	stream-event-scheme.cc	(SCM ev, SCM sym, SCM val)	\nSet property @var{sym} in event @var{ev} to @var{val}.\n           
ly:event?	music-scheme.cc	(SCM obj)	\nIs @var{obj} a proper (non-rhythmic) @code{Event} object?\n           
ly:expect-warning	warn-scheme.cc	(SCM str, SCM rest)	\nRegister @var{str} as an expected warning that should be suppressed.\n\nIf this Scheme-callable function does not encounter the given warning, a\nwarning about the missing warning is shown.  If the same warning occurs\nmultiple times, this function must be called multiple times, too.\n\n@var{str} should usually be tagged as being translated with @code{(G_ ...)},\nand @var{rest} holds the expected parameter values.\n\nExample:\n\n@example\n(ly:expect-warning (G_ "Bar number is ~a; expected ~a") 3 15)\n@end example\n\nIt is also possible to use a truncated version of the expected warning as\nthe value for @var{str} (i.e., the beginning of the two strings must match).\nHowever, it is recommended to compare @var{str} with the full message to\navoid potential hits with other, almost identical warnings.\n           
ly:extract-subfont-from-collection	open-type-font-scheme.cc	(SCM collection_file_name, SCM idx, SCM subfont_file_name)	\nExtract the subfont of index @var{idx} in TrueType collection (TTC) or\nOpenType/CFF collection (OTC) file @var{collection-file-name} and write it to\nfile @var{subfont-file-name}.\n           
ly:find-file	general-scheme.cc	(SCM name, SCM strict)	\nReturn the absolute file name of @var{name}.  By default, if\nthe file is not found, return @code{#f}.  If the optional parameter\n@var{strict} is passed as @code{#t}, raise an error in this case\ninstead.\n           
ly:font-config-add-directory	font-config-scheme.cc	(SCM dir)	\nAdd directory @var{dir} to FontConfig.\n           
ly:font-config-add-font	font-config-scheme.cc	(SCM font)	\nAdd font @var{font} to FontConfig.\n           
ly:font-config-display-fonts	font-config-scheme.cc	(SCM port)	\nList all fonts visible to FontConfig, together with directory information.\n\nOptional argument @var{port} selects the output port; the default is\n@code{(current-error-port)}.\n           
ly:font-config-get-font-file	font-config-scheme.cc	(SCM name)	\nGet the file for font @var{name}, as found by FontConfig.\n           
ly:font-design-size	font-metric-scheme.cc	(SCM font)	\nGiven the font metric @var{font}, return the design size, relative to the\ncurrent @code{output-scale}.\n           
ly:font-file-name	font-metric-scheme.cc	(SCM font)	\nGiven the font metric @var{font}, return the corresponding file name.\n           
ly:font-get-glyph	font-metric-scheme.cc	(SCM font, SCM name)	\nReturn a stencil from @var{font} for the glyph named @var{name}.  If the glyph\nis not available, return an empty stencil.\n\nNote that this command can only be used to access glyphs from fonts loaded with\n@code{ly:system-font-load}; currently, this means either the Emmentaler or\nEmmentaler-Brace  fonts, corresponding to the font encodings @code{fetaMusic}\nand @code{fetaBraces}, respectively.\n           
ly:font-glyph-name-to-index	font-metric-scheme.cc	(SCM font, SCM name)	\nReturn the index for @var{name} in @var{font}.\n\nNote that this command can only be used to access glyphs from fonts loaded with\n@code{ly:system-font-load}; currently, this means either the Emmentaler or\nEmmentaler-Brace fonts, corresponding to the font encodings @code{fetaMusic}\nand @code{fetaBraces}, respectively.\n           
ly:font-index-to-charcode	font-metric-scheme.cc	(SCM font, SCM index)	\nReturn the character code for @var{index} in @var{font}.\n\nNote that this command can only be used to access glyphs from fonts loaded with\n@code{ly:system-font-load}; currently, this means either the Emmentaler or\nEmmentaler-Brace fonts, corresponding to the font encodings @code{fetaMusic}\nand @code{fetaBraces}, respectively.\n           
ly:font-magnification	font-metric-scheme.cc	(SCM font)	\nGiven the font metric @var{font}, return the magnification, relative to the\ncurrent @code{output-scale}.\n           
ly:font-metric?	font-metric.cc	(SCM x)	Is @var{x} a smob of class @code{Font_metric}?
ly:font-name	font-metric-scheme.cc	(SCM font)	\nGiven the font metric @var{font}, return the corresponding name.\n           
ly:format	general-scheme.cc	(SCM str, SCM rest)	\nLilyPond specific format function, supporting @code{~a} and @code{~[0-9]f}.\nBasic support for @code{~s} is also provided.\n           
ly:format-output	global-context-scheme.cc	(SCM context)	\nGiven a global context in its final state, process it and return the\n@code{Music_output} object in its final state.\n           
ly:generic-bound-extent	axis-group-interface-scheme.cc	(SCM grob, SCM common)	\nDetermine the extent of @var{grob} relative to @var{common} along the\nx@tie{}axis, finding its extent as a bound when it a has\n@code{bound-alignment-interfaces} property list set and otherwise the full\nextent.\n           
ly:get-all-function-documentation	function-documentation.cc	()	\nGet a hash table with all LilyPond Scheme extension functions.\n           
ly:get-all-translators	translator-ctors.cc	()	\nReturn a list of all translator objects that may be instantiated.\n           
ly:get-cff-offset	open-type-font-scheme.cc	(SCM font_file_name, SCM idx)	\nGet the offset of the `CFF' table for @var{font-file-name}, returning it as an\ninteger.  The optional @var{idx} argument is useful for OpenType/CFF\ncollections (OTC) only; it specifies the font index within the OTC.  The\ndefault value of @var{idx} is@tie{}0.\n           
ly:get-context-mods	context-mod-scheme.cc	(SCM contextmod)	\nReturns the list of context modifications stored in @var{contextmod}.\n           
ly:get-font-format	open-type-font-scheme.cc	(SCM font_file_name, SCM idx)	\nGet the font format for @var{font-file-name}, returning it as a symbol.  The\noptional @var{idx} argument is useful for TrueType Collections (TTC) and\nOpenType/CFF collections (OTC) only; it specifies the font index within the\nTTC/OTC. The default value of @var{idx} is@tie{}0.\n           
ly:get-option	program-option-scheme.cc	(SCM var)	\nGet a global option setting.\n           
ly:get-spacing-spec	page-layout-problem-scheme.cc	(SCM from_scm, SCM to_scm)	\nReturn the spacing spec going between the two given grobs, @var{from-scm} and\n@var{to-scm}.\n           
ly:grob-alist-chain	grob-scheme.cc	(SCM grob, SCM global)	\nGet an alist chain for grob @var{grob}, with @var{global} as the global\ndefault.  If unspecified, there is no global default.\n           
ly:grob-array->list	grob-array-scheme.cc	(SCM grob_arr)	\nReturn the elements of @var{grob-arr} as a Scheme list.\n           
ly:grob-array-filter	grob-array-scheme.cc	(SCM predicate, SCM grob_arr)	\nLike @code{filter}, return a new grob array containing the elements of\n@var{grob-arr} that satisfy @var{predicate}.  Order is preserved.\n           
ly:grob-array-length	grob-array-scheme.cc	(SCM grob_arr)	\nReturn the length of @var{grob-arr}.\n           
ly:grob-array-ref	grob-array-scheme.cc	(SCM grob_arr, SCM index)	\nRetrieve the @var{index}th element of @var{grob-arr}.\n           
ly:grob-array?	grob-array.cc	(SCM x)	Is @var{x} a smob of class @code{Grob_array}?
ly:grob-basic-properties	grob-scheme.cc	(SCM grob)	\nGet the immutable properties of @var{grob}.\n           
ly:grob-chain-callback	grob-scheme.cc	(SCM grob, SCM proc, SCM sym)	\nFind the callback that is stored as property @var{sym} of grob @var{grob} and\nchain @var{proc} to the head of this, meaning that it is called using\n@var{grob} and the previous callback's result.\n           
ly:grob-common-refpoint	grob-scheme.cc	(SCM grob, SCM other, SCM axis)	\nFind the common refpoint of @var{grob} and @var{other} for @var{axis}.\n           
ly:grob-common-refpoint-of-array	grob-scheme.cc	(SCM grob, SCM others, SCM axis)	\nFind the common refpoint of @var{grob} and @var{others} (a grob-array) for\n@var{axis}.\n           
ly:grob-default-font	grob-scheme.cc	(SCM grob)	\nReturn the default font for grob @var{grob}.\n           
ly:grob-extent	grob-scheme.cc	(SCM grob, SCM refp, SCM axis)	\nGet the extent in @var{axis} direction of @var{grob} relative to the grob\n@var{refp}.\n           
ly:grob-get-vertical-axis-group-index	grob-scheme.cc	(SCM grob)	\nGet the index of the vertical axis group the grob @var{grob} belongs to; return\n@code{-1} if none is found.\n           
ly:grob-interfaces	grob-scheme.cc	(SCM grob)	\nReturn the interfaces list of grob @var{grob}.\n           
ly:grob-layout	grob-scheme.cc	(SCM grob)	\nGet @code{\\layout} definition from grob @var{grob}.\n           
ly:grob-list->grob-array	grob-array-scheme.cc	(SCM grob_list)	\nConvert a Scheme list of grobs to a grob array.\n           
